mountain,zone,coords,directions,description,no,routeName,difficulty
전라남도 무등산,u1(사부자기)),"35.161141,127.003592",,,6,사부자기,6c+
전라남도 무등산,u1(사부자기)),"35.161141,127.003592",,,7,사부자기,"sit, 7a+"
전라남도 무등산,u1(사부자기)),"35.161141,127.003592",,,8,gear second,8a+
전라남도 무등산,u1(사부자기)),"35.161141,127.003592",,,9,gear third,8b
전라남도 무등산,산타의 비밀상자,"35.161141,127.003592",,,1,저녁이슬,6a+
전라남도 무등산,산타의 비밀상자,"35.161141,127.003592",,,2,산타의 비밀상사,6b+
전라남도 무등산,산타의 비밀상자,"35.161141,127.003592",,,3,청산에 살으리랏다,6b+
전라남도 무등산,산타의 비밀상자,"35.161141,127.003592",,,4,독야청청,6b+
전라남도 무등산,산타의 비밀상자,"35.161141,127.003592",,,5,만물상자,6c
전라남도 무등산,산타의 비밀상자,"35.161141,127.003592",,,6,저녁이슬 right,6c+
전라남도 무등산,산타의 비밀상자,"35.161141,127.003592",,,7,청산별곡,?
전라남도 무등산,s6(보이지 않는너),"35.161141,127.003592",,,1,츠렁과 너럭,6a
전라남도 무등산,s6(보이지 않는너),"35.161141,127.003592",,,2,보이지 않는 너,6c+
전라남도 무등산,s6(보이지 않는너),"35.161141,127.003592",,,3,말벌의 고향,7a+
전라남도 무등산,s6(보이지 않는너),"35.161141,127.003592",,,4,파랑새를 찾아서,7a+
전라남도 무등산,일석사조,"35.161141,127.003592",,,1,일석사조,7c+
전라남도 무등산,일석사조,"35.161141,127.003592",,,2,유관신,8a+
전라남도 무등산,2윌의 벚꽃,"35.161141,127.003592",,,1,2월의 벚꽃,7a+
전라남도 무등산,2윌의 벚꽃,"35.161141,127.003592",,,2,귀경가세,7c
전라남도 무등산,u4(홍겨숙),"35.161141,127.003592",,,1,천사의 날개,7a
전라남도 무등산,u4(홍겨숙),"35.161141,127.003592",,,2,홍일이의 겨울방학 숙제,7b+
전라남도 무등산,u4(홍겨숙),"35.161141,127.003592",,,3,날개 잃은 천사,7c
전라남도 무등산,u4(홍겨숙),"35.161141,127.003592",,,4,kitty,8a+
전라남도 무등산,u7(삼삼하게),"35.161141,127.003592",,,1,홀가분하게,5
전라남도 무등산,u7(삼삼하게),"35.161141,127.003592",,,2,삼삼하게,6a+
전라남도 무등산,u7(삼삼하게),"35.161141,127.003592",,,3,삼삼하게,"sit, 7a"
전라남도 무등산,u7(삼삼하게),"35.161141,127.003592",,,4,fontainebleau connection,7a+
전라남도 무등산,u7(삼삼하게),"35.161141,127.003592",,,5,우아하게,7a+
전라남도 무등산,u7(삼삼하게),"35.161141,127.003592",,,6,fontaine connection,"direct,sts, 7b"
전라남도 무등산,u7(삼삼하게),"35.161141,127.003592",,,7,fontain connection,"direct, ?"
전라남도 무등산,u5,"35.161141,127.003592",,,1,무명,6a
전라남도 무등산,u5,"35.161141,127.003592",,,2,테디 베어,6a
전라남도 무등산,u5,"35.161141,127.003592",,,3,판다 (panda),6a+
전라남도 무등산,u5,"35.161141,127.003592",,,4,코알라 다이노,6c+
전라남도 무등산,u5,"35.161141,127.003592",,,5,흑곰,7a
전라남도 무등산,s1(싸락눈),"35.161141,127.003592",,,1,새싹,4
전라남도 무등산,s1(싸락눈),"35.161141,127.003592",,,2,푸른길,4
전라남도 무등산,s1(싸락눈),"35.161141,127.003592",,,3,햇살가득,5
전라남도 무등산,s1(싸락눈),"35.161141,127.003592",,,4,싸락눈,6a+
전라남도 무등산,u3(숲속의 정원),"35.161141,127.003592",,,1,숲속의 정원,"stand, 6c+"
전라남도 무등산,u3(숲속의 정원),"35.161141,127.003592",,,2,숲속의 정원,7a+
전라남도 무등산,u6(dirty),"35.161141,127.003592",,,1,dirty,7c
전라남도 무등산,n1,"35.161141,127.003592",,,1,된비알,6a
전라남도 무등산,n1,"35.161141,127.003592",,,2,커피 한잔,6c+
전라남도 무등산,n1,"35.161141,127.003592",,,3,02062,8a+
전라남도 무등산,u10(풍운아성),"35.161141,127.003592",,,1,가을 언덕,5
전라남도 무등산,u10(풍운아성),"35.161141,127.003592",,,2,뭉치 덩어리,6a
전라남도 무등산,u10(풍운아성),"35.161141,127.003592",,,3,풍운아성,7a+
전라남도 무등산,n5(보릿고개),"35.161141,127.003592",,,1,나르샤,6c+
전라남도 무등산,n5(보릿고개),"35.161141,127.003592",,,2,벚꽃 만개,6c+
전라남도 무등산,n5(보릿고개),"35.161141,127.003592",,,3,춤추는 나르샤,7a+
전라남도 무등산,n5(보릿고개),"35.161141,127.003592",,,4,보릿고개,8a+
전라남도 무등산,n2,"35.161141,127.003592",,,1,겨끔내기,6b
전라남도 무등산,n2,"35.161141,127.003592",,,2,한반도,7a
전라남도 무등산,n2,"35.161141,127.003592",,,3,꽃비,7a
전라남도 무등산,n2,"35.161141,127.003592",,,4,2016 여자 이벤트 루트,7a+
전라남도 무등산,준희의 한글날,"35.161141,127.003592",,,1,준희의 한글날,6b+
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,1,unknown,4
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,2,unknown face,5
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,3,unknown,6a
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,4,unknown,6a
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,5,unknown cante,6a+
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,6,little hairy,6a+
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,7,bear foot mantling,6a+
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,8,unknown traverse,6b+
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,9,빨치산,6b+
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,10,pulp friction,7a+
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,11,earlybird traverse,7c
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,12,project high ball,?
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,13,unknown,?
전라남도 지리산 (피아골 계곡),big twin(쌍둥이 바위),"35.228269,127.597441",,,14,unknown face,?
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,1,pants off,4
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,2,slip and slide,5
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,3,two side,5
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,4,live fast chalk none,6a
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,5,fourminustwoex,6a
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,6,공기차기,6a
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,7,smith's question,6a+
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,8,devils marbles,6a+
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,9,day light,6a+
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,10,day light variation,6a+
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,11,2xl,6b
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,12,april funk,6c
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,13,god ball,6c+
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,14,god ball variation,6c+
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,15,whale traverse,6c+
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,16,aa,3
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,17,easy easy,4
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,18,brick,5
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,19,곡괭이의 힐,6a
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,20,blowfish,6a
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,21,지리산 soil,6b
전라남도 지리산 (피아골 계곡),god ball,"35.228269,127.597441",,,22,지리산 soil,6b+
전라남도 지리산 (피아골 계곡),곡괭이,"35.228269,127.597441",,,1,곡괭이의 힐,6a
전라남도 지리산 (피아골 계곡),not attached to sector,"35.228269,127.597441",,,1,april funk,6c
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,1,easy slab1,"2, 3"
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,2,no name(mr.chang),3
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,3,beach boy,3+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,4,pirana,3+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,5,no name (ride the whale back),4
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,6,soju,4
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,7,little cube,4
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,8,songpyun1,4
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,9,songpyun3,4
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,10,torgua twister,5
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,11,man in black,5
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,12,korea goes the whale hunting,6a
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,13,sunblocker,6a
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,14,pin of the whale,6a
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,15,tail of the whale,6a
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,16,super moon,6a
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,17,insomnia,"sit, 6a"
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,18,songpyun2,6a
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,19,time to say goodbyw,6a
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,20,taco taco(딱고,"딱고), 6a+"
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,21,hite,6a+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,22,강강수월래(moon dance),6a+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,23,jinro,6a+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,24,black swan,6b
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,25,andrea slab,6b
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,26,black & white,6b+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,27,warm bite,6c
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,28,flaming moes,6c+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,29,the whale,7a
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,30,heel phlip,7a+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,31,crack whore,7a+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,32,wing of black swan,7a+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,33,pieman,7b
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,34,tabula rasa,7b+
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,35,concrete beach,7c
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,36,project,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,37,no country fir balled man,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,38,project,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,39,black rose,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,40,project,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,41,light of super moon,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,42,black high heel,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,43,one shot,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,44,sunblocker traverse,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,45,prana tail1,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,46,prana tail2,?
전라남도 지리산 (중산리),beach,"35.294733,127.755589",,,47,sisyphos sds,7a+
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,1,cayl 15,4
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,2,first corner sds,5
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,3,like dong ho kim,6a
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,4,hollow man,6a
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,5,swag,"straiht, 6a"
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,6,맷돌,6a
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,7,맷돌,"left, 6a"
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,8,marcolepsy,"right, 6a"
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,9,swag,"right, 6a+"
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,10,절구통?(mortar),6a+
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,11,code blue,6a+
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,12,어처구니,6a+
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,13,marcoepsy,"left, 6a+"
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,14,choco muffin,"right, 6a+"
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,15,gyu line sds,6b
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,16,the muse,6c
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,17,styx,6c+
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,18,like yuna kim,6c+
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,19,choco muffin,"left, 6c+"
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,20,공각기동대,7a
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,21,project,?
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,22,no name traverse,?
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,23,no name traverse,?
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,24,warmup1,?
전라남도 지리산 (중산리),water fall,"35.294733,127.755589",,,25,warmup2,?
전라남도 지리산 (중산리),above water tall,"35.294733,127.755589",,,1,bonsei shroom,5
전라남도 지리산 (중산리),above water tall,"35.294733,127.755589",,,2,bridge over shallow water,6a+
전라남도 지리산 (중산리),above water tall,"35.294733,127.755589",,,3,nameless,6a+
전라남도 지리산 (중산리),above water tall,"35.294733,127.755589",,,4,bridge over little water,6c+
전라남도 지리산 (중산리),above water tall,"35.294733,127.755589",,,5,dweed of korea,7a+
전라남도 지리산 (중산리),above water tall,"35.294733,127.755589",,,6,namless crack,?
전라남도 지리산 (중산리),above water tall,"35.294733,127.755589",,,7,abracadabra,?
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,1,화성인,3
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,2,easy slab,4
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,3,under the bridge,"left, 4"
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,4,greyhound,4+
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,5,오동나무,4+
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,6,spring church,5
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,7,under the bridge,"right, 5"
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,8,super comet,5
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,9,no name tace,6a
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,10,타타타,6a
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,11,그린 나래,6b+
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,12,아수라,6b+
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,13,삼형제,6b+
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,14,black diamond,"sit, 6b+"
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,15,microcosm,7a
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,16,black diamond,"low sit, 7a+"
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,17,no name arete,?
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,18,no name face(little high),?
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,19,no name (hard),?
전라남도 지리산 (중산리),bridge,"35.294733,127.755589",,,20,project1,?
전라남도 한려해상국립공원(금왕사),road side,"34.776764,127.967849",,,1,golden age,6a
경상북도 학가산,madang,"36.657112,128.613794",,,1,bridal mask (각시탈),5
경상북도 학가산,madang,"36.657112,128.613794",,,2,byeongsan mask(병산탈),6a+
경상북도 학가산,madang,"36.657112,128.613794",,,3,hahoe mask(하회탈),6b+
경상북도 학가산,madang,"36.657112,128.613794",,,4,tive eagle brothers(독수리오형제 a.k.a gatcha man),6c+
경상북도 학가산,madang,"36.657112,128.613794",,,5,god phoenix,7a+
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,1,titan,3
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,2,crank mickey,4
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,3,salt candy,4
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,4,little titan,4
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,5,fintasy,4
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,6,padakma,5
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,7,dishmantle,5
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,8,skipper,6a
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,9,the lure,6a+
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,10,virgin mermaid,6a+
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,11,the mosang,6a+
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,12,sea v#,6a+
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,13,yagaruji thunder,6b
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,14,the splash,6b+
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,15,myrmidons,7a+
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,16,project,?
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,17,project,?
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,18,seaslab,?
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,19,project,?
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,20,myrmidon capy,?
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,21,project,?
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,22,misty srack mechanics,?
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,23,right skipper,6a
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,24,finger clan,6a
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,25,sea v3,6a+
경상북도 영덕(hae maji),titans,"36.424485,129.435205",,,26,tamir rice,7a+
경상북도 영덕(hae maji),trail side,"36.424485,129.435205",,,1,cell line,3
경상북도 영덕(hae maji),trail side,"36.424485,129.435205",,,2,thermoshade,6b+
경상북도 영덕(hae maji),trail side,"36.424485,129.435205",,,3,cell line,6c+
경상북도 영덕(hae maji),the power bloc,"36.424485,129.435205",,,1,mantler,6c+
경상북도 옥계리,over view,"36.320195,129.266533",,,1,unknown,5
경상북도 옥계리,over view,"36.320195,129.266533",,,2,unknown (baby arete),5
경상북도 옥계리,over view,"36.320195,129.266533",,,3,t's arete,6a
경상북도 옥계리,over view,"36.320195,129.266533",,,4,aegyo(애지요),6a+
경상북도 옥계리,over view,"36.320195,129.266533",,,5,unknown-mega1,6a+
경상북도 옥계리,over view,"36.320195,129.266533",,,6,morning magic,"sit, 6b+"
경상북도 옥계리,over view,"36.320195,129.266533",,,7,early bird,6c+
경상북도 옥계리,over view,"36.320195,129.266533",,,8,doom blade,"sit, 7a+"
경상북도 옥계리,over view,"36.320195,129.266533",,,9,triple x,"sit, 7b"
경상북도 옥계리,over view,"36.320195,129.266533",,,10,pit fighter,7b+
경상북도 옥계리,over view,"36.320195,129.266533",,,11,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,12,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,13,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,14,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,15,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,16,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,17,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,18,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,19,unknown-mega2,?
경상북도 옥계리,over view,"36.320195,129.266533",,,20,unknown-mega3,?
경상북도 옥계리,over view,"36.320195,129.266533",,,21,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,22,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,23,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,24,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,25,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,26,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,27,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,28,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,29,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,30,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,31,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,32,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,33,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,34,unknown,?
경상북도 옥계리,over view,"36.320195,129.266533",,,35,unknown,?
경상북도 옥계리,obong,"36.320195,129.266533",,,1,unknown,3
경상북도 옥계리,obong,"36.320195,129.266533",,,2,project,3
경상북도 옥계리,obong,"36.320195,129.266533",,,3,dragon eye,5
경상북도 옥계리,obong,"36.320195,129.266533",,,4,dragonwing,"traverse,right, 6a+"
경상북도 옥계리,obong,"36.320195,129.266533",,,5,mandragon,6b
경상북도 옥계리,obong,"36.320195,129.266533",,,6,unknown,?
경상북도 옥계리,obong,"36.320195,129.266533",,,7,unknown,?
경상북도 옥계리,obong,"36.320195,129.266533",,,8,dragonwing,"traverse,left, ?"
경상북도 옥계리,obong,"36.320195,129.266533",,,9,unknown(toenail of dragon),?
경상북도 옥계리,obong,"36.320195,129.266533",,,10,unknown(tail of dragon),?
경상북도 옥계리,obong,"36.320195,129.266533",,,11,project,3
경상북도 팔공산 (염불암),green,"36.002139,128.704190",,,1,춘몽,6a
경상북도 팔공산 (염불암),green,"36.002139,128.704190",,,2,풀빛사랑,6c
경상북도 팔공산 (염불암),number309,"36.002139,128.704190",,,1,number309,6a+
경상북도 팔공산 (염불암),number309,"36.002139,128.704190",,,2,number147,6b+
경상남도 모산재,sector b,"35.474424,128.002439",,,1,inner child,3
경상남도 모산재,sector b,"35.474424,128.002439",,,2,실뱀,3
경상남도 모산재,sector b,"35.474424,128.002439",,,3,outback traverse,3
경상남도 모산재,sector b,"35.474424,128.002439",,,4,샛길,3
경상남도 모산재,sector b,"35.474424,128.002439",,,5,혹부리 영감,3
경상남도 모산재,sector b,"35.474424,128.002439",,,6,sense and sensibility,3
경상남도 모산재,sector b,"35.474424,128.002439",,,7,한수,3+
경상남도 모산재,sector b,"35.474424,128.002439",,,8,sense and sensibility,"left, 3+"
경상남도 모산재,sector b,"35.474424,128.002439",,,9,번대기,4
경상남도 모산재,sector b,"35.474424,128.002439",,,10,까투리,4
경상남도 모산재,sector b,"35.474424,128.002439",,,11,장기,5
경상남도 모산재,sector b,"35.474424,128.002439",,,12,별을 향해쏴라,"left, 5"
경상남도 모산재,sector b,"35.474424,128.002439",,,13,별을 향해 쏴라,"right, 5"
경상남도 모산재,sector b,"35.474424,128.002439",,,14,혹성탈출,5
경상남도 모산재,sector b,"35.474424,128.002439",,,15,누룩덤,6a
경상남도 모산재,sector b,"35.474424,128.002439",,,16,brave heart,6a
경상남도 모산재,sector b,"35.474424,128.002439",,,17,헛물,6a
경상남도 모산재,sector b,"35.474424,128.002439",,,18,sm entertainmet,6a
경상남도 모산재,sector b,"35.474424,128.002439",,,19,상실의 시대,6a
경상남도 모산재,sector b,"35.474424,128.002439",,,20,대가야,6a+
경상남도 모산재,sector b,"35.474424,128.002439",,,21,점입가경,6a+
경상남도 모산재,sector b,"35.474424,128.002439",,,22,anomic suicide,6a+
경상남도 모산재,sector b,"35.474424,128.002439",,,23,헛물,"extintion, 6a+"
경상남도 모산재,sector b,"35.474424,128.002439",,,24,theseus,6b+
경상남도 모산재,sector b,"35.474424,128.002439",,,25,no joke,6b+
경상남도 모산재,sector b,"35.474424,128.002439",,,26,점입가경,"dit, 6b+"
경상남도 모산재,sector b,"35.474424,128.002439",,,27,다라국,6c
경상남도 모산재,sector b,"35.474424,128.002439",,,28,두손가락,6c+
경상남도 모산재,sector b,"35.474424,128.002439",,,29,열반,6c+
경상남도 모산재,sector b,"35.474424,128.002439",,,30,six sense,6c+
경상남도 모산재,sector b,"35.474424,128.002439",,,31,ambivalence,6c+
경상남도 모산재,sector b,"35.474424,128.002439",,,32,guard of tree,7a+
경상남도 모산재,sector b,"35.474424,128.002439",,,33,쇠마루,7a+
경상남도 모산재,sector b,"35.474424,128.002439",,,34,사필귀정,7b
경상남도 모산재,sector b,"35.474424,128.002439",,,35,reverence,?
경상남도 모산재,sector b,"35.474424,128.002439",,,36,all killer no filler,?
경상남도 모산재,sector a,"35.474424,128.002439",,,1,바우,3
경상남도 모산재,sector a,"35.474424,128.002439",,,2,새내기2,3
경상남도 모산재,sector a,"35.474424,128.002439",,,3,새내기3,3
경상남도 모산재,sector a,"35.474424,128.002439",,,4,새내기1,4
경상남도 모산재,sector a,"35.474424,128.002439",,,5,새내기4,4
경상남도 모산재,sector a,"35.474424,128.002439",,,6,해리포터,4
경상남도 모산재,sector a,"35.474424,128.002439",,,7,활명수,4+
경상남도 모산재,sector a,"35.474424,128.002439",,,8,황의 귀환,5
경상남도 모산재,sector a,"35.474424,128.002439",,,9,remember,5
경상남도 모산재,sector a,"35.474424,128.002439",,,10,처음처럼,6a
경상남도 모산재,sector a,"35.474424,128.002439",,,11,흑등고래,6a
경상남도 모산재,sector a,"35.474424,128.002439",,,12,super man,6a
경상남도 모산재,sector a,"35.474424,128.002439",,,13,산울림,6a+
경상남도 모산재,sector a,"35.474424,128.002439",,,14,wonder woman,6a+
경상남도 모산재,sector a,"35.474424,128.002439",,,15,bat man,6a+
경상남도 모산재,sector a,"35.474424,128.002439",,,16,탄생,6a+
경상남도 모산재,sector a,"35.474424,128.002439",,,17,매뚜기,6b+
경상남도 모산재,sector a,"35.474424,128.002439",,,18,모비딕,6b+
경상남도 모산재,sector a,"35.474424,128.002439",,,19,사람 인,6b+
경상남도 모산재,sector a,"35.474424,128.002439",,,20,길섶,6b+
경상남도 모산재,sector a,"35.474424,128.002439",,,21,super surfer,6c+
경상남도 모산재,sector a,"35.474424,128.002439",,,22,비목,7a+
경상남도 모산재,sector a,"35.474424,128.002439",,,23,모산재,7a+
경상남도 모산재,sector a,"35.474424,128.002439",,,24,wonder boy,7b
